Area,Year,SoyaBeansProd,SoyaBeansProdLogDiff,SoyaBeansProdSD2,SoyaBeansProdSD3,SoyaBeansProdSD4,Population,PopulGrowth,PopulationSD2,PopulLogDiff,MalePopul,MalePopulGrowth,MalePopulSD2,MalePopulLogDiff,RuralPopul,RuralPopulGrowth,RuralPopulSD2,RuralPopulLogDiff,AgriLandShare,AgriLand,IrrigationEquippedLand,TempChange,tas,tasmax,tasmin,tr,tnn,txx,pr,rx1day,rx5day,fd,CattleMeatProd,CattleMeatProdLogDiff,CattleMeatProdSD2,CattleMeatProdSD3,CattleMeatProdSD4,CattleRawMilkProd,CattleRawMilkProdLogDiff,CattleRawMilkProdSD2,CattleRawMilkProdSD3,CattleRawMilkProdSD4,ChickensMeatProd,ChickensMeatProdLogDiff,ChickensMeatProdSD2,ChickensMeatProdSD3,ChickensMeatProdSD4,PotatoesProd,PotatoesProdLogDiff,PotatoesProdSD2,PotatoesProdSD3,PotatoesProdSD4,MaizeProd,MaizeProdLogDiff,MaizeProdSD2,MaizeProdSD3,MaizeProdSD4,HenEggsProd,HenEggsProdLogDiff,HenEggsProdSD2,HenEggsProdSD3,HenEggsProdSD4
Argentina,1961,957,1.069080919,7257.036895,9011.92301,7579.265504,20680.653,1.642627049,240.2084162,0.007075881,10345.584,1.556954156,113.8979319,0.006709667,5402.243,-0.569485675,21.75414012,-0.002480314,50.3633952,137829,980,0.122,14.91,21.47,8.39,3.07,3.27,27.03,619.35,17.78,32.92,4.19,2145064,0.044922422,165294.6954,230121.1517,259216.6603,4150806,-0.000863838,5832.216731,127449.8386,188402.3797,36241,0.079029428,5114.503348,8892.247316,17409.40296,2071700,-0.242828467,627415.8469,454964.6836,373489.2535,4850000,0.031928764,261629.509,431393.0922,443809.2683,208320,-0.102195609,30886.4242,34100.27566,31683.33316
Argentina,1962,11220,0.226928275,5444.722215,3899.247791,3382.794703,21020.359,1.634881688,243.0029022,0.007042786,10506.66,1.546942606,114.9274794,0.006666852,5371.478,-0.61180554,23.23765015,-0.002665199,49.85365533,136434,1010,-0.046,14.77,21.69,7.9,2.64,2.99,27.3,447.4,16.23,30.1,4.29,2378826,0.039492896,160132.1088,295532.785,294986.2234,4142558,0.022946019,158927.9059,196597.76,164565.1162,43474,0.093584713,7392.094291,16711.56921,33106.96859,1184400,0.088886757,190211.7241,167703.1107,572742.3854,5220000,-0.078184014,608111.8318,537990.0866,446794.136,164640,-0.06694679,16631.15149,13579.27833,11435.5236
Argentina,1963,18920,-0.130793096,3478.965363,2479.677398,2169.70044,21364.017,1.612384038,243.5770729,0.006946641,10669.192,1.524023562,114.9762697,0.006568821,5338.615,-0.663374302,25.04218666,-0.002890596,49.28398905,134875,1050,0.162,14.7,20.89,8.55,3.08,2.62,26.77,651.96,20.27,39.91,4.15,2605287,-0.110667632,414397.8078,345535.1105,287867.3475,4367316,0.016299274,118102.3888,131201.9236,200889.6291,53928,0.150106459,15744.43959,32634.06582,29797.93766,1453400,0.011500085,27577.16447,586969.6074,506428.8721,4360000,0.088867293,700035.7134,521632.0542,1128461.342,141120,0,0,7759.587618,8040.105721
Argentina,1964,14000,0.084320886,2121.320344,2163.330765,2706.011826,21708.487,1.59004172,244.0748761,0.006851139,10831.793,1.503786123,115.1785023,0.006482242,5303.2,-0.70706366,26.51438297,-0.003081646,48.70738008,133297,1080,-0.343,14.32,20.96,7.73,2.53,2.1,26.85,526.64,16.4,30.62,4.46,2019240,-0.005224143,17072.38612,181552.9489,253060.8199,4534338,-0.02552119,182985.7999,229040.62,201078.4827,76194,0.190674657,29698.48481,22160.09579,19735.23626,1492400,0.222139656,704702.6181,577739.7424,471884.1622,5350000,-0.017390663,148492.424,1041649.333,1581497.181,141120,0.039508541,9503.515139,8044.683545,6773.339895
Argentina,1965,17000,0.029622467,848.5281374,1778.57621,2248.51803,22053.661,1.584566844,247.1020002,0.006827733,10994.68,1.504664074,116.9787961,0.006485998,5265.703,-0.764760185,28.47519008,-0.003334076,48.15306081,131780,1110,0.09,14.81,21.41,8.24,3.06,2.67,27.61,582.78,17.76,32.58,4.31,1995096,0.065698431,230400.138,265881.1107,258860.136,4275557,0.04407865,322959.0015,241797.5266,227170.4255,118194,-0.033379665,6182.941695,4750.392124,7726.718838,2489000,-0.224503209,710430.1831,514119.9179,420328.6638,5140000,0.13660954,1343502.884,1689566.019,1389757.173,154560,0.002633284,664.6803743,900.2962475,6751.801611
Argentina,1966,18200,0.051682473,1626.345597,1913.983629,5990.756769,22403.116,1.579682041,250.2436756,0.006806849,11160.113,1.500970465,118.4474569,0.006470195,5225.433,-0.808296652,29.86606912,-0.003524652,47.84904392,130948,1140,-0.163,14.61,21.15,8.11,2.69,2.76,27.07,626.95,18.46,37.34,4.2,2320931,0.036074759,142144.0194,128935.6923,232618.1074,4732290,-0.034959271,258804.6174,198574.811,163233.7079,109450,0.029118547,5366.940469,9463.197134,11710.73866,1484300,0.083074722,221253.7118,244659.9324,356517.5901,7040000,0.082356901,1039446.968,1016021.653,867885.3611,155500,-0.005056526,1272.792206,7794.401837,8791.247067
Argentina,1967,20500,0.03066882,1060.660172,6137.045978,5112.973694,22757.014,1.56416391,251.6996085,0.006740498,11327.623,1.479180584,118.4799838,0.006376952,5183.196,-0.821674504,30.1149707,-0.003583229,47.39411479,129703,1180,0,14.95,21.62,8.32,3.31,3.25,26.35,550.15,22.17,42.11,4.49,2521953,0.006726852,27836.67265,198028.2988,162449.4387,4366285,0.030393715,223811.3171,159296.451,216056.2117,117040,0.039756922,7933.738085,9463.197134,25980.5586,1797200,0.039108583,119748.5334,277688.7413,272366.8507,8510000,-0.113025721,1378858.223,1050000,1336272.801,153700,0.038661264,10118.69804,9320.248566,11666.8719
Argentina,1968,22000,0.160004439,6929.646456,4900.340124,16557.37499,23112.971,1.553487001,253.8916395,0.00669484,11495.179,1.463152509,118.9297037,0.006308352,5140.607,-0.783954113,28.49640328,-0.003418085,47.22310528,129235,1210,0.472,15.06,21.82,8.34,2.87,3.01,27.86,536.78,19.32,36.1,3.56,2561320,0.051370709,227414.7332,170492.2703,371343.811,4682802,-0.011923128,89670.33224,255900.6246,275500.7108,128260,0.024968407,5366.940469,26030.82852,34510.02016,1966550,0.075499729,264026.601,214562.2078,216937.9405,6560000,0.019420276,212132.0344,1537313.674,1714805.626,168010,0.008168629,2255.670632,7326.215485,11043.66636
Argentina,1969,31800,-0.074292326,3535.533906,17328.58909,24011.38619,23472.028,1.579646207,262.1775168,0.006806696,11663.371,1.495159504,123.3095231,0.00644533,5100.307,-0.729642353,26.31427176,-0.003180413,46.54600996,127382,1250,0.292,15.17,21.94,8.44,3.27,2.74,27.6,555.44,19.21,36.79,4.22,2882933,-0.040868898,183085.502,453378.2831,401614.5544,4555989,-0.036370302,258804.6174,323669.9666,503778.9962,135850,0.114078583,28857.02774,33056.23542,29314.67323,2339940,-0.000657524,2503.158005,219267.4559,471224.1896,6860000,0.134951733,1767766.953,1632982.956,1953942.596,171200,0.026543765,7629.682169,10550.90991,12883.74428
Argentina,1970,26800,0.342717218,22768.83835,25882.04011,110735.1645,23842.803,1.596188166,269.1078704,0.006877414,11837.757,1.494818655,125.1246663,0.006443872,5063.093,-0.480556055,17.20461509,-0.002092059,46.54637537,127383,1280,0.438,15.09,21.94,8.28,3.19,2.86,27.49,533.14,17.25,32.43,4.27,2624011,-0.117741786,440610.9633,319339.3461,267942.9969,4189984,0.062219143,456370.9592,598105.3067,531107.0355,176660,0.056705549,17423.11109,12676.43614,10714.08847,2336400,-0.076645797,267286.3633,503117.203,445271.2881,9360000,0.0256734,403050.8653,2203777.061,1916026.705,181990,0.023931759,7290.270914,9511.503561,7766.13589
