Area,Year,WheatProd,WheatProdLogDiff,WheatProdSD2,WheatProdSD3,WheatProdSD4,Population,PopulGrowth,PopulationSD2,PopulLogDiff,MalePopul,MalePopulGrowth,MalePopulSD2,MalePopulLogDiff,RuralPopul,RuralPopulGrowth,RuralPopulSD2,RuralPopulLogDiff,AgriLandShare,AgriLand,IrrigationEquippedLand,TempChange,tas,tasmax,tasmin,tr,tnn,txx,pr,rx1day,rx5day,fd,CattleMeatProd,CattleMeatProdLogDiff,CattleMeatProdSD2,CattleMeatProdSD3,CattleMeatProdSD4,CattleRawMilkProd,CattleRawMilkProdLogDiff,CattleRawMilkProdSD2,CattleRawMilkProdSD3,CattleRawMilkProdSD4,ChickensMeatProd,ChickensMeatProdLogDiff,ChickensMeatProdSD2,ChickensMeatProdSD3,ChickensMeatProdSD4,PotatoesProd,PotatoesProdLogDiff,PotatoesProdSD2,PotatoesProdSD3,PotatoesProdSD4
Angola,1961,20000,0,0,0,3500,5441.333,1.471459291,56.61591865,0.006343906,2736.939,1.526230581,29.53726446,0.006578262,5131.827,1.50034286,54.44368662,0.006467509,36.23726638,45177,75,0.041,21.15,27.89,14.46,2.85,14.17,29.92,121.85,12.57,37.65,0,19000,0.022276395,707.1067812,1000,2160.246899,110000,0.019305155,3535.533906,5000,6454.972244,3060,0.012589127,63.63961031,90,116.1895004,15000,0,0,5773.502692,7500
Angola,1962,20000,0,0,4041.451884,3500,5521.4,1.420418734,55.45626353,0.006125399,2778.711,1.498644515,29.44604769,0.006460242,5208.822,1.467625502,54.05548499,0.006327497,36.24368332,45185,75,-0.152,21.17,27.95,14.44,2.75,13.44,29.96,99.33,12.62,37.5,0,20000,0.021189299,707.1067812,2081.665999,2954.516317,115000,0.018483406,3535.533906,5000,4787.135539,3150,0.012234456,63.63961031,90,116.1895004,15000,0.22184875,7071.067812,7637.626158,7071.067812
Angola,1963,20000,-0.187086643,4949.747468,4041.451884,3947.573094,5599.827,1.310254763,51.88183875,0.005653407,2820.354,1.427267641,28.46387637,0.006154726,5285.268,1.387706357,51.86203976,0.005985298,36.24127697,45182,75,-0.19,21.23,28.05,14.45,2.61,13.72,29.76,105.2,11.25,33.4,0,21000,0.057991947,2121.320344,2753.785274,3065.26236,120000,0.017728767,3535.533906,2886.751346,2500,3240,0.011899223,63.63961031,90,258.1787172,25000,0.079181246,3535.533906,2886.751346,2500
Angola,1964,13000,0.187086643,4949.747468,4725.815626,5802.298395,5673.199,1.11723562,44.81854911,0.004825188,2860.608,1.294619885,26.18699253,0.005586379,5358.612,1.288020107,48.80451004,0.005558082,36.24769391,45190,75,-0.229,21.16,28.09,14.28,2.84,13.3,30.52,90.83,10.62,30.81,0.01,24000,0.043034632,1767.766953,2020.725942,2926.174978,125000,0,0,0,1000,3330,0.011581873,63.63961031,263.6759375,357.176427,30000,0,0,0,500
Angola,1965,20000,0.041392685,1414.213562,3605.551275,3559.026084,5736.582,0.879652727,35.68202239,0.003803579,2897.642,1.127226897,23.09622879,0.004868098,5427.632,1.180164757,45.29372487,0.005095382,36.24528756,45187,75,-0.196,21.23,28.14,14.36,3.22,13.78,30.71,82.41,10.23,28.6,0,26500,0.023912157,1060.660172,2291.287847,2561.737691,125000,0,0,1154.700538,2362.907813,3420,0.048605333,286.3782464,339.7425496,425.8445843,30000,0,0,577.3502692,957.4271078
Angola,1966,22000,0.088941083,3535.533906,2886.751346,6070.441191,5787.044,0.699130679,28.60883326,0.003025721,2930.305,0.998940383,20.6984297,0.004316817,5491.687,1.112026232,43.18230402,0.004802814,36.2517045,45195,75,0.175,21.46,28.3,14.67,4.04,14.37,30.76,95.43,11.53,33,0,28000,0.044203662,2121.320344,2081.665999,3304.037934,125000,0.006893708,1414.213562,2516.611478,3500,3825,0.029622467,190.9188309,301.1187141,460.5221819,30000,0.014240439,707.1067812,1000,1707.825128
Angola,1967,27000,0,0,7421.83771,8100.189813,5827.503,0.698412339,28.77924599,0.003022623,2959.577,1.00102143,20.9487455,0.004325766,5552.756,1.119119947,43.9410296,0.004833281,36.25731932,45202,75,-0.081,21.18,27.94,14.48,2.94,13.86,29.89,116.9,12.69,37.63,0,31000,0.013788284,707.1067812,2645.751311,4546.060566,127000,0.010139631,2121.320344,3000,3162.27766,4095,0.033777128,234.1937659,401.54661,728.3634258,31000,0.013788284,707.1067812,1527.525232,1500
Angola,1968,27000,-0.280760812,9089.857672,8124.598964,7075.376504,5868.203,1.025578018,42.55580741,0.004431344,2989.203,1.239862264,26.20679152,0.005351546,5614.898,1.224812989,48.62914756,0.005286983,36.26373626,45210,75,-0.193,21.27,28.19,14.4,2.73,13.37,30.39,94.84,11.18,31.37,0,32000,0.051152522,2828.427125,4509.249753,4966.554809,130000,0.009908289,2121.320344,2081.665999,2160.246899,4426.2,0.043650679,330.9259736,683.5451119,764.1814444,32000,0.026328939,1414.213562,1154.700538,1000
Angola,1969,14145,-0.072690249,1541.492783,1101.336915,1384.715735,5928.386,1.708964295,71.63981643,0.007359232,3026.265,1.655109516,35.41756446,0.007129213,5683.67,1.393113956,55.98871493,0.006008461,36.27737226,45227,75,0.188,21.48,28.2,14.8,3.12,14.14,30.17,110.04,12.38,35.26,0,36000,0.056481356,3535.533906,3605.551275,3304.037934,133000,0.003253157,707.1067812,1000,3109.126351,4894.2,0.071689752,621.1225966,613.3678831,591.4807943,34000,0,0,0,0
Angola,1970,11965,0.02868611,577.7062402,1609.526742,1577.529081,6029.7,2.443720251,104.1914771,0.010485342,3076.353,2.202250522,47.90577732,0.009460459,5762.85,1.415341368,57.6744575,0.006103657,36.25972568,45205,75,0.248,21.51,28.44,14.64,3.17,13.65,30.67,93.35,12.17,33.59,0,41000,0.020684599,1414.213562,1154.700538,1258.305739,134000,0.00322897,707.1067812,3214.550254,4049.176871,5772.6,0.022174817,213.8290906,223.9752665,244.9075132,34000,0,0,0,500
Angola,1971,12782,0.071514439,1617.860315,1796.423206,2423.582335,6177.049,3.038376416,132.7112149,0.012999007,3144.102,2.80490264,62.35903993,0.012013826,5844.414,1.419560627,58.6651141,0.006121725,36.24127697,45182,75,-0.097,21.35,28.24,14.51,2.45,13.61,30.1,87.21,10.5,29.48,0,43000,0,0,577.3502692,577.3502692,135000,0.015794267,3535.533906,3818.813079,4269.562819,6075,0.009545318,95.45941546,135,157.5,34000,0,0,577.3502692,577.3502692
Angola,1972,15070,-0.116396959,2505.279326,2769.170694,2386.501833,6364.731,3.35440728,150.9665907,0.014329001,3232.291,3.130596843,71.55213519,0.013387531,5927.379,1.530963348,64.16711197,0.006598507,36.22363038,45160,75,-0.035,21.34,28.25,14.48,3.15,13.56,30.51,92.94,11.61,33.67,0,43000,0.009984221,707.1067812,577.3502692,4193.248542,140000,0.007686829,1767.766953,2500,3227.486122,6210,0.009340026,95.45941546,113.2475165,119.058809,34000,0.012589127,707.1067812,577.3502692,1414.213562
Angola,1973,11527,0.168349258,3859.388812,2823.700822,2343.246893,6578.23,3.409184537,158.5785952,0.014559113,3333.481,3.197138367,75.36061231,0.013667655,6018.125,1.591292969,67.71678801,0.006856488,36.20518168,45137,75,0.475,21.58,28.5,14.72,4.12,14.29,30.97,84.21,10.51,30.39,0,44000,0,0,4618.802154,4000,142500,0.007553138,1767.766953,2500,4269.562819,6345,0.006116925,63.63961031,68.73863542,76.85213074,35000,0,0,1732.050808,1500
Angola,1974,16985,-0.116122199,2817.820523,2300.740823,2865.75579,6802.494,3.384332276,162.7894161,0.014454727,3440.057,3.175528778,77.24434478,0.013576703,6113.891,1.620457414,70.05519013,0.006981145,36.18753509,45115,75,-0.158,21.13,27.93,14.39,2.44,13.46,29.88,94.05,10.91,31.66,0,44000,0.072550667,5656.854249,4618.802154,3862.210075,145000,0.007424018,1767.766953,5204.164999,4564.354646,6435,0.003026455,31.81980515,45,58.09475019,35000,-0.038918066,2121.320344,1732.050808,3316.62479
Angola,1975,13000,0,0,1732.050808,1732.050808,7032.713,3.328260374,165.510363,0.014219118,3549.297,3.118955669,78.27742778,0.013338506,6212.964,1.619082293,71.12999244,0.006975269,36.16988851,45093,80,-0.029,21.3,28.14,14.5,2.85,13.83,30.04,91.7,10.65,31.11,0,52000,-0.072550667,5656.854249,4358.898944,3593.976442,147500,-0.030489322,7071.067812,5204.164999,4564.354646,6480,0.00300551,31.81980515,45,58.09475019,32000,0.038918066,2121.320344,4041.451884,3316.62479
Angola,1976,13000,-0.113943352,2121.320344,1732.050808,2061.552813,7266.78,3.373089594,173.3224787,0.014407497,3659.998,3.171395176,82.07600541,0.013559303,6313.557,1.627450263,72.65522177,0.00701103,35.99101628,44870,80,-0.313,21.07,27.81,14.38,2.5,13.44,29.68,106.05,12.11,36.27,0,44000,0.009759837,707.1067812,1000,1290.994449,137500,0.007825338,1767.766953,3818.813079,5543.389457,6525,0.002984854,31.81980515,45,58.09475019,35000,0.057991947,3535.533906,2886.751346,2886.751346
Angola,1977,10000,0,0,1154.700538,1500,7511.895,3.457117012,183.6320955,0.014760372,3776.071,3.267655719,87.24919862,0.013964318,6416.307,1.665568683,75.56708749,0.007173894,35.9733697,44848,80,0.272,21.55,28.42,14.74,3.49,14.24,30.49,93.67,11.85,34.62,0,45000,0.009545318,707.1067812,1000,1290.994449,140000,0.015239967,3535.533906,5000,6454.972244,6570,0.002964479,31.81980515,45,58.09475019,40000,-0.057991947,3535.533906,2886.751346,2500
Angola,1978,10000,-0.096910013,1414.213562,1527.525232,1707.825128,7771.59,3.495140634,192.0700008,0.014919959,3899.46,3.31869028,91.50739566,0.014178892,6523.175,1.751325083,80.7812929,0.007540074,35.95492099,44825,80,0.037,21.32,28.07,14.63,2.82,13.88,30.39,71.48,10.6,28.83,0,46000,0.009340026,707.1067812,1000,1707.825128,145000,0.014723257,3535.533906,5000,4787.135539,6615,0.002944381,31.81980515,45,58.09475019,35000,0.057991947,3535.533906,2886.751346,2500
Angola,1979,8000,-0.057991947,707.1067812,1000,1290.994449,8043.218,3.56609755,202.8187309,0.015217612,4028.871,3.401200982,96.89484223,0.014525583,6637.417,1.848203902,86.74291017,0.007953375,35.92925323,44793,80,0.291,21.57,28.43,14.76,3.53,14.27,30.96,96.87,10.74,31.8,0,47000,0.009143379,707.1067812,1527.525232,1825.741858,150000,0.014240439,3535.533906,2886.751346,2986.078811,6660,0.002924553,31.81980515,45,58.09475019,40000,0,0,0,0
